bcw_id,group
BCW-200014,DSP
BCW-200016,DSP
BCW-200017,DSP
BCW-200026,DSP
BCW-200028,DSP
BCW-200030,DSP
BCW-200034,DSP
BCW-200035,DSP
BCW-200049,DSP
BCW-200050,DSP
BCW-200053,DSP
BCW-200069,DSP
BCW-200083,DSP
BCW-200084,DSP
BCW-200086,DSP
BCW-200093,DSP
BCW-200095,DSP
BCW-200096,DSP
BCW-200099,DSP
BCW-200102,DSP
BCW-200106,DSP
BCW-200109,DSP
BCW-200113,DSP
BCW-200117,DSP
BCW-200120,DSP
BCW-200122,DSP
BCW-200123,DSP
BCW-200124,DSP
BCW-200129,DSP
BCW-200132,DSP
BCW-200133,DSP
BCW-200136,DSP
BCW-200137,DSP
BCW-200141,DSP
BCW-200142,DSP
BCW-200148,DSP
BCW-200156,DSP
BCW-200161,DSP
BCW-200162,DSP
BCW-200165,DSP
BCW-200167,DSP
BCW-200168,DSP
BCW-200169,DSP
BCW-200171,DSP
BCW-200172,DSP
BCW-200177,DSP
BCW-200181,DSP
BCW-200182,DSP
BCW-200183,DSP
BCW-200184,DSP
BCW-200194,DSP
BCW-200195,DSP
BCW-200197,DSP
BCW-200199,DSP
BCW-200200,DSP
BCW-200201,DSP
BCW-200203,DSP
BCW-200206,DSP
BCW-200210,DSP
BCW-200214,DSP
BCW-200216,DSP
BCW-200221,DSP
BCW-200225,DSP
BCW-200226,DSP
BCW-200227,DSP
BCW-200234,DSP
BCW-200235,DSP
BCW-200236,DSP
BCW-200237,DSP
BCW-200276,DSP
BCW-200281,DSP
BCW-200294,DSP
BCW-200307,DSP
BCW-200308,DSP
BCW-200317,DSP
BCW-200437,DSP
BCW-200438,DSP
BCW-200440,DSP
BCW-200442,DSP
BCW-200444,DSP
BCW-200446,DSP
BCW-200449,DSP
BCW-200488,DSP
BCW-200496,DSP
BCW-200499,DSP
BCW-200509,DSP
BCW-200517,DSP
BCW-200521,DSP
BCW-200525,DSP
BCW-200552,DSP
BCW-200553,DSP
BCW-200555,DSP
BCW-200559,DSP
BCW-200567,DSP
BCW-200577,DSP
BCW-200578,DSP
BCW-200600,DSP
BCW-200620,DSP
BCW-200644,DSP
BCW-200647,DSP
BCW-200648,DSP
BCW-200650,DSP
BCW-200651,DSP
BCW-200656,DSP
BCW-200660,DSP
BCW-200661,DSP
BCW-200662,DSP
BCW-200665,DSP
BCW-200667,DSP
BCW-200669,DSP
BCW-200704,DSP
BCW-200727,DSP
BCW-200738,DSP
BCW-200776,DSP
BCW-200785,DSP
BCW-200797,DSP
BCW-200798,DSP
BCW-200800,DSP
BCW-200801,DSP
BCW-200818,DSP
BCW-200820,DSP
BCW-200821,DSP
BCW-200828,DSP
BCW-200847,DSP
BCW-200855,DSP
BCW-200874,DSP
BCW-200879,DSP
BCW-200880,DSP
BCW-200881,DSP
BCW-200882,DSP
BCW-200885,DSP
BCW-200886,DSP
BCW-200887,DSP
BCW-200891,DSP
BCW-200892,DSP
BCW-200909,DSP
BCW-200915,DSP
BCW-200926,DSP
BCW-200951,DSP
BCW-200955,DSP
BCW-201019,DSP
BCW-201020,DSP
BCW-201021,DSP
BCW-201044,DSP
BCW-201058,DSP
BCW-201059,DSP
BCW-201070,DSP
BCW-201071,DSP
BCW-201075,DSP
BCW-201078,DSP
BCW-201088,DSP
BCW-201091,DSP
BCW-201097,DSP
BCW-201098,DSP
BCW-201107,DSP
BCW-201155,DSP
BCW-201162,DSP
BCW-201184,DSP
BCW-201259,DSP
BCW-201263,DSP
BCW-201267,DSP
BCW-201290,DSP
BCW-201297,DSP
BCW-201302,DSP
BCW-201304,DSP
BCW-201315,DSP
BCW-201441,DSP
BCW-201443,DSP
BCW-201461,DSP
BCW-201614,DSP
BCW-201615,DSP
BCW-201620,DSP
BCW-201649,DSP
BCW-201659,DSP
BCW-201703,DSP
BCW-201721,DSP
BCW-201808,DSP
BCW-201828,DSP
BCW-201850,DSP
BCW-201858,DSP
BCW-201873,DSP
BCW-201876,DSP
BCW-201879,DSP
BCW-201886,DSP
BCW-201887,DSP
BCW-201888,DSP
BCW-201890,DSP
BCW-201900,DSP
BCW-201901,DSP
BCW-201926,DSP
BCW-201937,DSP
BCW-201972,DSP
BCW-201990,DSP
BCW-200001,SDS
BCW-200002,SDS
BCW-200008,SDS
BCW-200011,SDS
BCW-200032,SDS
BCW-200044,SDS
BCW-200046,SDS
BCW-200056,SDS
BCW-200065,SDS
BCW-200068,SDS
BCW-200073,SDS
BCW-200078,SDS
BCW-200081,SDS
BCW-200100,SDS
BCW-200101,SDS
BCW-200103,SDS
BCW-200105,SDS
BCW-200112,SDS
BCW-200116,SDS
BCW-200118,SDS
BCW-200119,SDS
BCW-200147,SDS
BCW-200153,SDS
BCW-200154,SDS
BCW-200173,SDS
BCW-200202,SDS
BCW-200209,SDS
BCW-200266,SDS
BCW-200267,SDS
BCW-200290,SDS
BCW-200432,SDS
BCW-200436,SDS
BCW-200443,SDS
BCW-200458,SDS
BCW-200460,SDS
BCW-200476,SDS
BCW-200477,SDS
BCW-200497,SDS
BCW-200498,SDS
BCW-200527,SDS
BCW-200528,SDS
BCW-200570,SDS
BCW-200574,SDS
BCW-200587,SDS
BCW-200588,SDS
BCW-200589,SDS
BCW-200599,SDS
BCW-200607,SDS
BCW-200621,SDS
BCW-200646,SDS
BCW-200790,SDS
BCW-200791,SDS
BCW-200938,SDS
BCW-200939,SDS
BCW-200944,SDS
BCW-200945,SDS
BCW-200993,SDS
BCW-201292,SDS
BCW-201293,SDS
BCW-201819,SDS
BCW-201851,SDS
BCW-201859,SDS
BCW-201862,SDS
BCW-201868,SDS
BCW-201875,SDS
BCW-201947,SDS
BCW-200003,DSN
BCW-200009,DSN
BCW-200012,DSN
BCW-200013,DSN
BCW-200015,DSN
BCW-200018,DSN
BCW-200023,DSN
BCW-200025,DSN
BCW-200027,DSN
BCW-200029,DSN
BCW-200031,DSN
BCW-200033,DSN
BCW-200036,DSN
BCW-200040,DSN
BCW-200041,DSN
BCW-200043,DSN
BCW-200047,DSN
BCW-200051,DSN
BCW-200054,DSN
BCW-200055,DSN
BCW-200057,DSN
BCW-200060,DSN
BCW-200061,DSN
BCW-200063,DSN
BCW-200064,DSN
BCW-200066,DSN
BCW-200067,DSN
BCW-200071,DSN
BCW-200077,DSN
BCW-200079,DSN
BCW-200082,DSN
BCW-200092,DSN
BCW-200094,DSN
BCW-200097,DSN
BCW-200104,DSN
BCW-200107,DSN
BCW-200111,DSN
BCW-200114,DSN
BCW-200115,DSN
BCW-200121,DSN
BCW-200128,DSN
BCW-200138,DSN
BCW-200143,DSN
BCW-200144,DSN
BCW-200145,DSN
BCW-200146,DSN
BCW-200149,DSN
BCW-200150,DSN
BCW-200151,DSN
BCW-200152,DSN
BCW-200155,DSN
BCW-200157,DSN
BCW-200158,DSN
BCW-200159,DSN
BCW-200160,DSN
BCW-200163,DSN
BCW-200174,DSN
BCW-200175,DSN
BCW-200180,DSN
BCW-200188,DSN
BCW-200192,DSN
BCW-200196,DSN
BCW-200198,DSN
BCW-200208,DSN
BCW-200213,DSN
BCW-200215,DSN
BCW-200218,DSN
BCW-200219,DSN
BCW-200229,DSN
BCW-200231,DSN
BCW-200232,DSN
BCW-200238,DSN
BCW-200241,DSN
BCW-200268,DSN
BCW-200269,DSN
BCW-200270,DSN
BCW-200271,DSN
BCW-200272,DSN
BCW-200275,DSN
BCW-200279,DSN
BCW-200315,DSN
BCW-200319,DSN
BCW-200327,DSN
BCW-200328,DSN
BCW-200464,DSN
BCW-200465,DSN
BCW-200471,DSN
BCW-200473,DSN
BCW-200533,DSN
BCW-200539,DSN
BCW-200542,DSN
BCW-200544,DSN
BCW-200545,DSN
BCW-200547,DSN
BCW-200556,DSN
BCW-200561,DSN
BCW-200564,DSN
BCW-200565,DSN
BCW-200596,DSN
BCW-200634,DSN
BCW-200641,DSN
BCW-200642,DSN
BCW-200649,DSN
BCW-200663,DSN
BCW-200705,DSN
BCW-200715,DSN
BCW-200716,DSN
BCW-200718,DSN
BCW-200723,DSN
BCW-200724,DSN
BCW-200725,DSN
BCW-200726,DSN
BCW-200736,DSN
BCW-200806,DSN
BCW-200808,DSN
BCW-200810,DSN
BCW-200814,DSN
BCW-200815,DSN
BCW-200883,DSN
BCW-200902,DSN
BCW-200903,DSN
BCW-200904,DSN
BCW-200910,DSN
BCW-200912,DSN
BCW-200920,DSN
BCW-200952,DSN
BCW-200983,DSN
BCW-200984,DSN
BCW-200986,DSN
BCW-200988,DSN
BCW-200989,DSN
BCW-200990,DSN
BCW-200991,DSN
BCW-200994,DSN
BCW-201007,DSN
BCW-201008,DSN
BCW-201010,DSN
BCW-201013,DSN
BCW-201014,DSN
BCW-201024,DSN
BCW-201025,DSN
BCW-201028,DSN
BCW-201036,DSN
BCW-201045,DSN
BCW-201051,DSN
BCW-201054,DSN
BCW-201056,DSN
BCW-201079,DSN
BCW-201081,DSN
BCW-201083,DSN
BCW-201084,DSN
BCW-201085,DSN
BCW-201090,DSN
BCW-201103,DSN
BCW-201151,DSN
BCW-201152,DSN
BCW-201153,DSN
BCW-201154,DSN
BCW-201173,DSN
BCW-201175,DSN
BCW-201176,DSN
BCW-201185,DSN
BCW-201186,DSN
BCW-201187,DSN
BCW-201236,DSN
BCW-201238,DSN
BCW-201245,DSN
BCW-201248,DSN
BCW-201257,DSN
BCW-201258,DSN
BCW-201260,DSN
BCW-201350,DSN
BCW-201444,DSN
BCW-201445,DSN
BCW-201450,DSN
BCW-201453,DSN
BCW-201648,DSN
BCW-201653,DSN
BCW-201654,DSN
BCW-201662,DSN
BCW-201726,DSN
BCW-201809,DSN
BCW-201811,DSN
BCW-201812,DSN
BCW-201814,DSN
BCW-201826,DSN
BCW-201827,DSN
BCW-201832,DSN
BCW-201833,DSN
BCW-201835,DSN
BCW-201839,DSN
BCW-201842,DSN
BCW-201845,DSN
BCW-201847,DSN
BCW-201848,DSN
BCW-201849,DSN
BCW-201853,DSN
BCW-201854,DSN
BCW-201857,DSN
BCW-201861,DSN
BCW-201864,DSN
BCW-201865,DSN
BCW-201866,DSN
BCW-201867,DSN
BCW-201874,DSN
BCW-201877,DSN
BCW-201878,DSN
BCW-201880,DSN
BCW-201881,DSN
BCW-201882,DSN
BCW-201883,DSN
BCW-201884,DSN
BCW-201885,DSN
BCW-201889,DSN
BCW-201891,DSN
BCW-201895,DSN
BCW-201896,DSN
BCW-201897,DSN
BCW-201899,DSN
BCW-201903,DSN
BCW-201909,DSN
BCW-201914,DSN
BCW-201917,DSN
BCW-201933,DSN
BCW-201938,DSN
BCW-201945,DSN
BCW-201949,DSN
BCW-201957,DSN
BCW-201975,DSN
BCW-201982,DSN
BCW-201995,DSN
BCW-201997,DSN
BCW-202001,DSN
